mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	0	3/4	3/4	0						firstMeasure					2
2	2	0	3/4	3/4	0											3
3	3	0	3/4	3/4	0											4
4	4	0	3/4	3/4	0											5
5	5	0	3/4	3/4	0											6
6	6	0	3/4	3/4	0					line						7
7	7	0	3/4	3/4	0											8, 9
8	8	0	3/4	3/4	0	1					end					1
9	9	0	3/4	3/4	0	2			double							10
10	10	0	3/4	3/4	0	2										11
11	11	0	3/4	3/4	0											12
12	12	0	3/4	3/4	0					line						13
13	13	0	3/4	3/4	0											14
14	14	0	3/4	3/4	0											15
15	15	0	3/4	3/4	0											16
16	16	0	3/4	3/4	0											17, 18
17	17	0	3/4	3/4	0	1					end					1
18	17	0	3/4	3/4	0	2		1	end	line		fine				-1
19	18	0	3/4	3/4	0											20
20	19	0	3/4	3/4	0											21
21	20	0	3/4	3/4	0											22
22	21	0	3/4	3/4	0											23
23	22	0	3/4	3/4	0											24
24	23	0	3/4	3/4	0											25
25	24	0	3/4	3/4	0											26
26	25	0	3/4	3/4	0					line	end					1, 27
27	26	0	3/4	3/4	0				start-repeat		start					28
28	27	0	3/4	3/4	0											29
29	28	0	3/4	3/4	0											30
30	29	0	3/4	3/4	0											31
31	30	0	3/4	3/4	0											32
32	31	0	3/4	3/4	0											33
33	32	0	3/4	3/4	0											34
34	33	0	3/4	3/4	0					line						35
35	34	0	3/4	3/4	0											36
36	35	0	3/4	3/4	0											37
37	36	0	3/4	3/4	0											38
38	37	0	3/4	3/4	0											39
39	38	0	3/4	3/4	0											40
40	39	0	3/4	3/4	0											41
41	40	0	3/4	3/4	0											42
42	41	0	3/4	3/4	0					section	end		start		fine	27, 1
